iter	Passed	Remaining
214	286	1047
215	287	1043
216	288	1039
217	288	1035
218	289	1031
219	289	1027
220	290	1023
221	290	1019
222	291	1015
223	292	1012
224	292	1008
225	293	1004
226	294	1001
227	294	997
228	295	993
229	295	990
230	296	987
231	297	983
232	297	980
233	298	976
234	299	973
235	299	970
236	300	967
237	300	963
238	301	960
239	302	956
240	302	953
241	303	950
242	303	946
243	304	943
244	305	940
245	305	936
246	306	934
247	306	930
248	307	927
249	308	924
250	308	921
251	309	918
252	310	915
253	310	912
254	311	909
255	312	906
256	312	904
257	313	902
258	314	899
259	315	897
260	316	895
261	317	893
262	317	890
263	318	888
264	319	885
265	319	882
266	320	879
267	320	876
268	321	873
269	322	871
270	322	868
271	323	865
272	323	862
273	324	860
274	325	857
275	325	854
276	326	852
277	327	849
278	327	847
279	328	844
280	329	841
281	329	839
282	330	836
283	330	833
284	331	831
285	332	828
286	332	826
287	333	823
288	333	821
289	334	819
290	335	816
291	335	814
292	336	811
293	336	809
294	337	806
295	338	804
296	339	802
297	339	800
298	340	798
299	341	795
300	341	793
301	342	790
302	342	788
303	343	786
304	344	783
305	344	781
306	345	779
307	345	776
308	346	774
309	347	772
310	347	770
311	348	767
312	348	765
313	349	763
314	349	760
315	350	758
316	351	756
317	351	754
318	352	753
319	353	751
320	354	749
321	354	747
322	355	745
323	356	743
324	356	741
325	357	738
326	358	736
327	358	734
328	359	732
329	359	730
330	360	728
331	361	726
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	364	714
338	365	712
339	366	710
340	366	708
341	367	707
342	368	705
343	368	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	691
350	373	689
351	373	687
352	374	686
353	374	684
354	375	682
355	376	680
356	376	678
357	377	676
358	377	674
359	378	672
360	379	670
361	379	669
362	380	667
363	381	665
364	381	663
365	382	662
366	382	660
367	383	658
368	384	656
369	384	655
370	385	653
371	385	651
372	386	649
373	387	647
374	387	646
375	388	644
376	389	643
377	389	641
378	390	639
379	391	638
380	391	636
381	392	634
382	392	632
383	393	631
384	394	629
385	394	627
386	395	626
387	395	624
388	396	622
389	397	621
390	397	619
391	398	617
392	398	616
393	399	614
394	400	612
395	400	611
396	401	609
397	401	607
398	402	606
399	403	604
400	403	602
401	404	601
402	404	599
403	405	598
404	405	596
405	406	594
406	407	593
407	407	591
408	408	590
409	409	588
410	409	587
411	410	585
412	410	584
413	411	582
414	412	580
415	412	579
416	413	577
417	413	576
418	414	574
419	415	573
420	415	571
421	416	570
422	416	568
423	417	567
424	417	565
425	418	563
426	419	562
427	419	560
428	420	559
429	420	557
430	421	556
431	422	555
432	422	553
433	423	552
434	424	550
435	424	549
436	425	548
437	425	546
438	426	545
439	427	543
440	427	542
441	428	540
442	429	539
443	429	538
444	430	536
445	430	535
446	431	533
447	432	532
448	432	530
449	433	529
450	433	528
451	434	526
452	435	525
453	436	524
454	436	523
455	437	521
456	438	520
457	438	519
458	439	517
459	439	516
460	440	514
461	441	513
462	441	512
463	442	510
464	442	509
465	443	508
466	444	506
467	444	505
468	445	504
469	445	502
470	446	501
471	447	500
472	447	498
473	448	497
474	449	496
475	450	495
476	450	494
477	451	492
478	451	491
479	452	490
480	453	488
481	453	487
482	454	486
483	454	484
484	455	483
485	456	482
486	456	481
487	457	479
488	458	478
489	458	477
490	459	476
491	459	474
492	460	473
493	461	472
494	461	471
495	462	469
496	463	468
497	463	467
498	464	466
499	464	464
500	465	463
501	466	462
502	466	461
503	467	459
504	467	458
505	468	457
506	469	456
507	469	454
508	470	453
509	471	452
510	471	451
511	472	450
512	472	448
513	473	447
514	473	446
515	474	445
516	475	444
517	475	442
518	476	441
519	477	440
520	477	439
521	478	437
522	478	436
523	479	435
524	480	434
525	480	433
526	481	431
527	481	430
528	482	429
529	483	428
530	483	427
531	484	426
532	484	424
533	485	423
534	486	422
535	486	421
536	487	420
537	487	418
538	488	417
539	489	416
540	489	415
541	490	414
542	491	413
543	491	412
544	492	410
545	492	409
546	493	408
547	494	407
548	494	406
549	495	405
550	495	404
551	496	403
552	497	401
553	497	400
554	498	399
555	499	398
556	499	397
557	500	396
558	500	395
559	501	394
560	502	392
561	502	391
562	503	390
563	504	389
564	504	388
565	505	387
566	505	386
567	506	385
568	507	384
569	507	382
570	508	381
571	508	380
572	509	379
573	510	378
574	510	377
575	511	376
576	511	375
577	512	374
578	513	373
579	513	371
580	514	370
581	514	369
582	515	368
583	516	367
584	517	366
585	517	365
586	518	364
587	518	363
588	519	362
589	520	361
590	521	360
591	521	359
592	522	358
593	523	357
594	523	356
595	524	355
596	524	354
597	525	353
598	526	352
599	526	351
600	527	350
601	527	349
602	528	347
603	529	346
604	529	345
605	530	344
606	531	343
607	531	342
608	532	341
609	533	340
610	533	339
611	534	338
612	534	337
613	535	336
614	535	335
615	536	334
616	537	333
617	537	332
618	538	331
619	539	330
620	539	329
621	540	328
622	541	327
623	541	326
624	542	325
625	542	324
626	543	323
627	544	322
628	544	321
629	545	320
630	546	319
631	546	318
632	547	317
633	547	316
634	548	315
635	548	314
636	549	313
637	550	312
638	550	311
639	551	310
640	552	309
641	552	308
642	553	307
643	553	306
644	554	305
645	554	304
646	555	303
647	556	302
648	556	301
649	557	300
650	558	299
651	558	298
652	559	297
653	560	296
654	560	295
655	561	294
656	561	293
657	562	292
658	562	291
659	563	290
660	564	289
661	564	288
662	565	287
663	566	286
664	566	285
665	567	284
666	568	283
667	568	282
668	569	281
669	569	280
670	570	279
671	571	278
672	571	277
673	572	276
674	572	275
675	573	274
676	574	273
677	574	272
678	575	271
679	575	271
680	576	270
681	577	269
682	577	268
683	578	267
684	579	266
685	579	265
686	580	264
687	580	263
688	581	262
689	581	261
690	582	260
691	583	259
692	583	258
693	584	257
694	585	256
695	585	255
696	586	254
697	586	253
698	587	253
699	588	252
700	588	251
701	589	250
702	589	249
703	590	248
704	591	247
705	591	246
706	592	245
707	593	244
708	593	243
709	594	242
710	594	241
711	595	240
712	596	239
713	596	239
714	597	238
715	597	237
716	598	236
717	599	235
718	599	234
719	600	233
720	600	232
721	601	231
722	602	230
723	603	229
724	603	228
725	604	228
726	605	227
727	605	226
728	606	225
729	606	224
730	607	223
731	608	222
732	608	221
733	609	220
734	609	219
735	610	218
736	611	218
737	611	217
738	612	216
739	612	215
740	613	214
741	614	213
742	614	212
743	615	211
744	615	210
745	616	209
746	617	209
747	617	208
748	618	207
749	619	206
750	619	205
751	620	204
752	621	203
753	622	202
754	622	202
755	623	201
756	624	200
757	624	199
758	625	198
759	626	197
760	626	196
761	627	196
762	628	195
763	628	194
764	629	193
765	630	192
766	630	191
767	631	190
768	631	189
769	632	188
770	633	188
771	633	187
772	634	186
773	635	185
774	635	184
775	636	183
776	636	182
777	637	181
778	638	181
779	638	180
780	639	179
781	639	178
782	640	177
783	641	176
784	641	175
785	642	174
786	642	174
787	643	173
788	644	172
789	644	171
790	645	170
791	646	169
792	646	168
793	647	167
794	647	167
795	648	166
796	649	165
797	649	164
798	650	163
799	650	162
800	651	161
801	651	160
802	652	160
803	653	159
804	653	158
805	654	157
806	654	156
807	655	155
808	656	154
809	656	154
810	657	153
811	657	152
812	658	151
813	659	150
814	659	149
815	660	148
816	661	148
817	662	147
818	663	146
819	663	145
820	664	144
821	665	144
822	665	143
823	666	142
824	667	141
825	667	140
826	668	139
827	668	138
828	669	138
829	670	137
830	670	136
831	671	135
832	672	134
833	672	133
834	673	133
835	673	132
836	674	131
837	675	130
838	676	129
839	676	128
840	677	128
841	677	127
842	678	126
843	679	125
844	679	124
845	680	123
846	680	123
847	681	122
848	682	121
849	682	120
850	683	119
851	683	118
852	684	117
853	685	117
854	685	116
855	686	115
856	686	114
857	687	113
858	688	112
859	688	112
860	689	111
861	690	110
862	690	109
863	691	108
864	692	108
865	692	107
866	693	106
867	693	105
868	694	104
869	694	103
870	695	103
871	696	102
872	696	101
873	697	100
874	697	99
875	698	98
876	699	98
877	699	97
878	700	96
879	701	95
880	701	94
881	702	93
882	703	93
883	703	92
884	704	91
885	705	90
886	706	89
887	706	89
888	707	88
889	708	87
890	708	86
891	709	85
892	710	85
893	711	84
894	711	83
895	712	82
896	713	81
897	714	81
898	714	80
899	715	79
900	716	78
901	716	77
902	717	77
903	718	76
904	719	75
905	719	74
906	720	73
907	721	73
908	721	72
909	722	71
910	722	70
911	723	69
912	724	69
913	724	68
914	725	67
915	725	66
916	726	65
917	727	64
918	727	64
919	728	63
920	728	62
921	729	61
922	730	60
923	730	60
924	731	59
925	731	58
926	732	57
927	733	56
928	733	56
929	734	55
930	735	54
931	735	53
932	736	52
933	736	52
934	737	51
935	738	50
936	738	49
937	739	48
938	740	48
939	740	47
940	741	46
941	741	45
942	742	44
943	743	44
944	743	43
945	744	42
946	744	41
947	745	40
948	746	40
949	746	39
950	747	38
951	747	37
952	748	36
953	749	36
954	749	35
955	750	34
956	750	33
957	751	32
958	752	32
959	752	31
960	753	30
961	753	29
962	754	28
963	754	28
964	755	27
965	756	26
966	757	25
967	757	25
968	758	24
969	759	23
970	759	22
971	760	21
972	760	21
973	761	20
974	761	19
975	762	18
976	763	17
977	763	17
978	764	16
979	765	15
980	765	14
981	766	14
982	766	13
983	767	12
984	768	11
985	768	10
986	769	10
987	769	9
988	770	8
989	771	7
990	771	7
991	772	6
992	772	5
993	773	4
994	774	3
995	774	3
996	775	2
997	775	1
998	776	0
999	777	0
